seed,time,degDist,degDistTime,rangeDist,rangeDistTime,nnDist,nnDistTime,avgDeg,avgNNDistance,avgRange
1,100,1,1,1,1,0,1,7.61,0.697282,1.5495
2,100,1,1,1,1,1,1,7.63,0.694332,1.486
3,100,1,1,1,1,0,1,7.21,0.747479,1.5375
4,100,0,1,1,0,0,1,7.63,0.765246,1.5485
5,100,0,1,1,1,0,1,6.38,0.678422,1.294
6,100,1,1,1,1,0,0,6.73,0.698391,1.342
7,100,1,1,1,1,0,1,5.79,0.730309,1.337
8,100,1,1,1,1,0,1,7.56,0.734536,1.538
9,100,0,1,0,1,1,1,9.03,0.668039,1.599
10,100,1,1,1,1,0,1,7.62,0.643258,1.5515
11,100,0,1,1,1,0,1,6.76,0.690329,1.3545
12,100,1,1,1,1,1,1,5.64,0.666213,1.3415
13,100,1,1,0,1,0,1,5.54,0.736941,1.248
14,100,1,1,0,1,0,1,5.62,0.714767,1.2095
15,100,1,1,1,1,1,1,7.24,0.789817,1.694
16,100,0,1,1,1,0,1,6.7,0.624695,1.333
17,100,1,1,0,1,0,1,7.2,0.668219,1.351
18,100,0,1,1,1,0,1,6.68,0.703002,1.4455
19,100,1,1,0,0,0,1,5.97,0.674132,1.2935
20,100,0,1,1,1,0,1,5.72,0.693743,1.2625
21,100,1,1,1,1,1,1,7.08,0.664937,1.4635
22,100,1,1,0,1,0,0,6.13,0.837679,1.3235
23,100,1,1,1,1,0,1,7.06,0.636263,1.4515
24,100,0,1,1,1,0,0,8.11,0.707079,1.647
25,100,1,1,0,1,0,0,8.78,0.743068,1.5515
26,100,0,1,1,1,0,0,6.07,0.674639,1.3965
27,100,1,1,1,1,1,1,6.12,0.694057,1.362
28,100,1,1,1,1,0,0,7.07,0.696401,1.5435
29,100,1,1,1,0,0,1,7.02,0.747041,1.469
30,100,0,1,1,1,0,1,6.85,0.768256,1.335
